,N53,N87,N108,T53,T87,T108
ENSG00000009413,1244.2355180721418,4751.48223283713,7118.63603379589,1007.0848726996516,1470.332167109174,1593.7033954979315
ENSG00000009694,59.29716927807461,224.98939334917984,549.647670203118,22.516125202634488,5.474641047746924,14.55436890865691
ENSG00000009724,134.6749268349491,192.9434263439554,115.2862698095523,51.173011824169286,45.36131153847452,145.5436890865691
ENSG00000009780,1105.5404441674928,1880.6976886191085,1687.371767212538,1186.1904140842441,965.1010075599578,1718.870968112381
ENSG00000009790,194.97713288044872,203.6254153456969,82.68005208563851,151.4721149995411,122.78837778518101,138.26650463224064
ENSG00000009830,1113.5807383068927,1194.3798952572188,1560.4404196444452,1065.4221061792045,2349.40310106168,566.1649505467537
ENSG00000009844,2687.4683160944323,4386.959358152702,3201.2318758228207,3280.1900579292515,4370.327739258544,5377.8393117487285
ENSG00000009950,433.17084676017214,291.0842002974552,10230.200810877948,10.234602364833858,17.206014721490334,0.0
ENSG00000009954,6906.612665744555,6437.901246487066,11006.92749737261,9318.605453181228,11058.774916448787,5108.583486938575
ENSG00000010017,3271.3946779683533,3771.40974192735,6241.761678577781,5314.829008058222,3797.054612401617,7087.977658515915
ENSG00000010030,149.75047834632403,92.79977945262907,37.264248827330036,238.4662351006289,242.44838925736377,29.10873781731382
ENSG00000010072,666.3393768027706,1163.0015525646031,777.8911942705145,1319.2402448270843,1973.999143501891,2065.2649481384155
ENSG00000010165,3190.991736574354,1213.7410003228752,2652.748713395557,3889.148898636866,6871.456606500639,1931.3647541787718
ENSG00000010219,1059.308752865943,973.3962477836919,732.475391012206,450.32250405268974,1182.5224663133356,2804.6268886981866
ENSG00000010244,8510.651346554845,11069.878727367213,8281.9793018741,13289.631170736764,11036.8763522578,9770.347848381383
ENSG00000010256,9341.816753215313,2675.170620623631,10192.936562050618,15104.226170021808,9817.595581766735,6526.179018641758
ENSG00000010270,1627.1545264610643,2653.806642620148,2019.2564833309464,2250.5890600269654,1564.9652480773707,2440.767665981764
ENSG00000010278,21029.389321600564,20512.757004906678,5003.889912844911,28603.666689237663,19408.384605841096,29573.022185499976
ENSG00000010292,3776.928171983125,2159.7646512896044,3408.5142599248443,3428.591792219342,6894.919353848126,4519.131546137971
