,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000129810,3.34355514634101,2.0142700869767,372.298552430333,9.85686182899517e-38,1.47750416071906e-35,37.00626133123346
ENSG00000066279,3.84527361187957,4.34988999480319,371.667725509033,1.06167852062977e-37,1.5667347953722902e-35,36.97400696899144
ENSG00000024526,3.34156755875884,3.26252947522377,371.665651345633,1.06193797839719e-37,1.5667347953722902e-35,36.973900847121236
ENSG00000115414,3.38119848971623,11.893397110202,370.978953559909,1.15148468079721e-37,1.68557566125761e-35,36.93874183545876
ENSG00000133392,-3.68364485436539,8.42932007886101,369.35822665216,1.3945625189468e-37,2.02557503236482e-35,-36.85556201131906
ENSG00000065600,1.38255587207776,3.3501715621865,367.477132287939,1.74313909588314e-37,2.5123997876586403e-35,36.75866795645613
ENSG00000151914,-2.25250321647065,9.23928855824755,367.054044351896,1.83306285648214e-37,2.6218395986187604e-35,-36.736822642645365
ENSG00000144857,-2.07696728762669,5.6140290045757,366.784402850803,1.89282221289409e-37,2.6868037729542904e-35,-36.722890176096996
ENSG00000166851,3.14269305636439,4.04829578348435,365.758055120553,2.13901262552129e-37,3.0134345537137204e-35,36.669786651997875
ENSG00000156970,3.04105168568065,3.64246825506328,363.963434622947,2.65058634076838e-37,3.70627136320725e-35,36.57665804440547
ENSG00000118193,3.72789419056068,2.97217552319699,363.396597433132,2.83680744871525e-37,3.9372786049316704e-35,36.54717014139781
ENSG00000182916,-2.22075809303882,2.22362700321037,363.095775731644,2.94098913770986e-37,4.05186128479925e-35,-36.53150657951924
ENSG00000233429,-2.15022119254081,2.03785866637176,362.971137706405,2.9852872947390997e-37,4.0828706599654404e-35,-36.52501386737685
ENSG00000175305,2.34792448572422,2.62818125173393,362.614609191629,3.11578880557729e-37,4.23047353986244e-35,36.50643198735404
ENSG00000164283,3.12852518322464,2.77323296058491,362.13345596386,3.3011656454905e-37,4.4499237913349303e-35,36.481332683146945
ENSG00000133466,2.16112338701032,4.96007146287245,361.314121591111,3.64306075793891e-37,4.8757163872501e-35,36.43853358565691
ENSG00000137727,-2.7586609964623,3.61429643752958,361.030638117851,3.76956999940145e-37,5.00726605323467e-35,-36.4237081876027
ENSG00000165304,3.4769059294223,3.53064270026334,360.975260289906,3.7948005526996e-37,5.00726605323467e-35,36.42081104483786
ENSG00000157456,2.89918219194971,3.82464391324833,360.874496216553,3.84115109685742e-37,5.03298238474248e-35,36.415538608939805
ENSG00000197083,-2.12959786691266,1.66938275222892,360.329878102994,4.10183073514721e-37,5.3372223947537e-35,-36.38702226505694
ENSG00000137807,2.65946416944605,4.16916759067447,360.198322914903,4.16745504373658e-37,5.38521414858567e-35,36.38012907640996
ENSG00000189057,3.20006329892062,4.04686264287443,359.26779010014,4.66319465409447e-37,5.98453960505261e-35,36.33131645556531
ENSG00000154839,3.13460455157896,2.22683452217994,358.776350599311,4.9488201746613995e-37,6.3078941233082e-35,36.30549832686598
ENSG00000237649,2.87390396335517,4.25034279038029,358.624754251664,5.04047343658205e-37,6.316488446910121e-35,36.29752866965793
